City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
,,,,,,,,,
0,Punta Arenas,CL,-53.15,-70.9167,48.22,65,92,24.07,overcast clouds
,,,,,,,,,
1,Bilibino,RU,68.0546,166.4372,46.51,86,54,7.67,broken clouds
,,,,,,,,,
2,Qaanaaq,GL,77.484,-69.3632,46.72,60,16,2.21,few clouds
,,,,,,,,,
3,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,73,20,5.75,few clouds
,,,,,,,,,
4,Thompson,CA,55.7435,-97.8558,65.7,28,77,5.12,broken clouds
,,,,,,,,,
5,Maceio,BR,-9.6658,-35.7353,78.24,73,75,13.8,broken clouds
,,,,,,,,,
6,Severo-Kurilsk,RU,50.6789,156.125,51.8,87,12,15.41,few clouds
,,,,,,,,,
7,Waingapu,ID,-9.6567,120.2641,76.62,86,61,11.88,broken clouds
,,,,,,,,,
8,Clyde River,CA,70.4692,-68.5914,35.35,98,100,10.38,moderate rain
,,,,,,,,,
9,Guerrero Negro,MX,27.9769,-114.0611,81.09,53,68,3.04,broken clouds
,,,,,,,,,
10,Vaini,TO,-21.2,-175.2,70.75,59,71,4.61,broken clouds
,,,,,,,,,
11,New Norfolk,AU,-42.7826,147.0587,53.92,62,100,13,overcast clouds
,,,,,,,,,
12,Puerto Ayora,EC,-0.7393,-90.3518,73.54,84,74,7,broken clouds
,,,,,,,,,
13,Jamestown,US,42.097,-79.2353,80.29,60,90,3.44,overcast clouds
,,,,,,,,,
14,Carnarvon,AU,-24.8667,113.6333,64.49,34,0,14.83,clear sky
,,,,,,,,,
15,Hithadhoo,MV,-0.6,73.0833,81.61,76,100,7.81,overcast clouds
,,,,,,,,,
16,Ruwi,OM,23.5996,58.5507,96.76,42,17,7.18,few clouds
,,,,,,,,,
17,Salalah,OM,17.0151,54.0924,75.88,95,96,4.21,overcast clouds
,,,,,,,,,
18,Codrington,AU,-38.2667,141.9667,51.55,75,100,11.25,overcast clouds
,,,,,,,,,
19,Tommot,RU,58.9564,126.2925,60.26,75,100,3.22,overcast clouds
,,,,,,,,,
20,Mehamn,NO,71.0357,27.8492,55.58,87,75,9.22,broken clouds
,,,,,,,,,
21,Hilo,US,19.7297,-155.09,75.11,76,90,3.44,light rain
,,,,,,,,,
22,Bluff,NZ,-46.6,168.3333,34.81,86,44,6.26,scattered clouds
,,,,,,,,,
23,Barrow,US,71.2906,-156.7887,42.82,93,90,18.41,light rain
,,,,,,,,,
24,Shirpur,IN,21.35,74.8833,80.37,74,100,12.95,overcast clouds
,,,,,,,,,
25,Busselton,AU,-33.65,115.3333,41.09,85,0,6.2,clear sky
,,,,,,,,,
26,San Patricio,US,28.017,-97.5169,93.18,53,100,4.05,light rain
,,,,,,,,,
27,Mayo,US,38.8876,-76.5119,88.86,53,1,1.99,clear sky
,,,,,,,,,
28,Pokrovsk,UA,48.282,37.1758,74.03,47,97,7.63,overcast clouds
,,,,,,,,,
29,Avarua,CK,-21.2078,-159.775,68.05,94,90,1.14,light rain
,,,,,,,,,
