City_ID,City,Country,Lat,Lng,Max Temp,current Description,Hotel Name
11,Maceio,BR,-9.6658,-35.7353,78.24,broken clouds,Poutur Pousada
15,Waingapu,ID,-9.6567,120.2641,76.62,broken clouds,Pondok Wisata Elim
19,Guerrero Negro,MX,27.9769,-114.0611,81.09,broken clouds,"Casa Laguna, Bed & Breakfast"
27,Jamestown,US,42.097,-79.2353,80.29,overcast clouds,Hampton Inn & Suites Jamestown
31,Hithadhoo,MV,-0.6,73.0833,81.61,overcast clouds,Scoop Guest House
35,Salalah,OM,17.0151,54.0924,75.88,overcast clouds,HAMDAN PLAZA HOTEL SALALAH
43,Hilo,US,19.7297,-155.09,75.11,light rain,Hilo Hawaiian Hotel
49,Shirpur,IN,21.35,74.8833,80.37,overcast clouds,Hotel Atithi
61,Ribeira Grande,PT,38.5167,-28.7,77.4,scattered clouds,Quinta da Meia Eira
69,Hasaki,JP,35.7333,140.8333,75.6,broken clouds,Hotel Sunrise Choshi
71,Nakhon Phanom,TH,17.3333,104.4167,76.78,overcast clouds,ป่ายางรีสอร์ท
79,Georgetown,MY,5.4112,100.3354,82.89,few clouds,Cititel Penang
85,Laguna,US,38.421,-121.4238,83.14,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
89,Butaritari,KI,3.0707,172.7902,83.07,few clouds,Isles Sunset Lodge
95,Ca Mau,VN,9.1769,105.15,78.85,broken clouds,Khách Sạn Mường Thanh Luxury Cà Mau
107,Chapais,CA,49.7834,-74.8492,80.26,few clouds,Hôtel Opémiska
119,Victoria,HK,22.2855,114.1577,83.32,moderate rain,Mini Hotel Central
135,Salinopolis,BR,-0.6136,-47.3561,82.92,broken clouds,Salinas Park Resort Maçarico AP101
141,Sangamner,IN,19.5667,74.2167,75.76,overcast clouds,Government Rest House
157,Tsagan Aman,RU,47.5639,46.7218,80.29,scattered clouds,Tirupathi
161,Lompoc,US,34.6391,-120.4579,81.21,mist,"Holiday Inn Express Lompoc, an IHG Hotel"
163,Komsomolskiy,UZ,40.4272,71.7189,81.82,broken clouds,Ikathouse
171,Ponta Do Sol,PT,32.6667,-17.1,77.63,few clouds,Hotel do Campo
177,Chitral,PK,35.8462,71.7858,75.07,broken clouds,PTDC Motel Chitral
187,Mitsamiouli,KM,-11.3847,43.2844,76.5,few clouds,Foyer ADM
199,Pagudpud,PH,18.5616,120.7868,79.99,light rain,Saud Beach Resort and Hotel - 2
209,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,75.45,broken clouds,Hotel Vista Inn
217,Shelburne,CA,44.0787,-80.2041,81.9,clear sky,The Retreat at the Farm
227,Salinas,US,36.6777,-121.6555,76.55,few clouds,Laurel Inn & Conference Center
229,Dingle,PH,10.9995,122.6711,77.2,broken clouds,SEGAYA PROPERTY
235,San Cristobal,VE,7.7669,-72.225,80.78,broken clouds,Posada Villaven C.A.
237,Monrovia,LR,6.3005,-10.7969,80.37,light rain,Sunset Inn
239,Namatanai,PG,-3.6667,152.4333,78.71,light rain,Seagulls Inn Namatani
255,Natal,BR,-5.795,-35.2094,81.25,scattered clouds,Villa Park Hotel | Natal
263,Kavaratti,IN,10.5669,72.642,82.36,overcast clouds,Hotels in Lakshadweep Islands
271,Beloslav,BG,43.1833,27.7,82.18,scattered clouds,Guest Room Gebedje
275,Sabang,ID,5.8933,95.3214,83.55,overcast clouds,Hotel Citra
279,Toyokawa,JP,34.8167,137.4,84.16,broken clouds,Hotel Crown Hills Toyokawa
283,Kanker,IN,20.2719,81.4931,76.14,overcast clouds,STARiHOTEL Kanker
289,Shieli,KZ,44.1667,66.75,84.33,few clouds,Gostinitsa Aybek Shieli
293,Pemberton,CA,50.3164,-122.8027,84.43,scattered clouds,Pemberton Valley Lodge
295,Diu,IN,20.7141,70.9822,82.04,overcast clouds,Hotel Relax Inn
297,Naze,JP,28.3667,129.4833,77.94,overcast clouds,Amami Port Tower Hotel
311,San Ramon,US,37.7799,-121.978,77.09,few clouds,San Ramon Marriott
319,Mweka,CD,-4.85,21.5667,80.31,clear sky,Guest House Boshab
321,Jiwani,PK,25.05,61.7417,82.45,clear sky,Al Mumtaz Transport Jiwani
327,Kapaa,US,22.0752,-159.319,80.92,light rain,Sheraton Kauai Coconut Beach Resort
331,Marsa Matruh,EG,31.3525,27.2453,84.45,clear sky,Beau Site
333,Surab,PK,28.4914,66.2585,80.22,clear sky,Bismillah Hotel
347,Katsuura,JP,35.1333,140.3,80.71,broken clouds,Katsuura Hotel Mikazuki
351,Tautira,PF,-17.7333,-149.15,77.02,scattered clouds,Pension Oaoa
353,Rincon,US,32.296,-81.2354,79.25,overcast clouds,Days Inn Rincon
355,Lorengau,PG,-2.0226,147.2712,79.84,broken clouds,Lorengau Harbourside Hotel
357,Majene,ID,-3.5403,118.9707,77.52,overcast clouds,Kost Putri RABBANI
377,Kavieng,PG,-2.5744,150.7967,80.94,overcast clouds,Nusa Island Retreat
387,Maragogi,BR,-9.0122,-35.2225,76.51,broken clouds,Salinas do Maragogi All Inclusive Resort
397,Vila Velha,BR,-20.3297,-40.2925,75.96,overcast clouds,Quality Suites Vila Velha
401,Wanlaweyn,SO,2.6185,44.8938,75.74,overcast clouds,GAASHAAN HOME
403,Faanui,PF,-16.4833,-151.75,79.0,scattered clouds,Bora-Bora Pearl Beach Resort & Spa
419,Pulandian,CN,39.3953,121.9669,77.13,overcast clouds,HR East Hotel
427,Ciudad Guayana,VE,8.3533,-62.6528,84.72,few clouds,Hotel Las Americas
435,Torbay,CA,47.6666,-52.7314,76.87,scattered clouds,Gallows Cove
443,Eyl,SO,7.9803,49.8164,77.77,scattered clouds,Amiin Hotel
447,Anloga,GH,5.7947,0.8973,77.29,overcast clouds,Pin Drop Hotel
453,Kota Belud,MY,6.351,116.4305,80.46,scattered clouds,Tang Dynasty Lodge Kota Belud
463,Atuona,PF,-9.8,-139.0333,76.41,light rain,Villa Enata
467,Bandarbeyla,SO,9.4942,50.8122,76.95,few clouds,JABIR HOTEL
473,Bato,PH,13.3528,123.3677,80.38,broken clouds,Casa de Piedra
475,Ridge,US,40.894,-72.8959,75.88,overcast clouds,Pine Ridge In
477,Balabac,PH,7.9868,117.0645,82.62,scattered clouds,Sing and Swing Lodge
491,Sault Sainte Marie,CA,46.5168,-84.3333,82.69,scattered clouds,Comfort Inn
499,Paragould,US,36.0584,-90.4973,84.81,overcast clouds,Linwood Motel
509,Cabedelo,BR,-6.9811,-34.8339,77.13,broken clouds,Hotel Pigalle
517,Vranjska Banja,RS,42.555,21.9922,84.49,overcast clouds,Inn Zormaris-M
